sequence,commit,authored_at,subject,canonical_task_footers,canonical_gate_footers,footer_status,changed_path_count,changed_paths,historical_scope_verdict,historical_outside_paths,current_scope_verdict,current_outside_paths,footer_disposition,source
109,00b78a8ff2a65574a9117e6c371697dfb5f3e853,2026-08-04T10:09:19+03:00,docs(governance): transfer task-scope test surface to GOV-032 (C44) Task: V0-GOV-032,[],[],PSEUDO_NOT_TRAILER,2,"[""plan/TRACEABILITY.md"", ""plan/v0/governance/V0-GOV-031-c42-entry-gate-approval.md""]",FAIL,"[""plan/TRACEABILITY.md"", ""plan/v0/governance/V0-GOV-031-c42-entry-gate-approval.md""]",FAIL,"[""plan/TRACEABILITY.md"", ""plan/v0/governance/V0-GOV-031-c42-entry-gate-approval.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
110,0cdc35d16d16e4b61160694e17b19b17e0701d0e,2026-08-04T10:15:03+03:00,feat(governance): recognize deferred V0 tasks in entry-gate derivation (V0-GOV-032) Task: V0-GOV-032,[],[],PSEUDO_NOT_TRAILER,14,"[""docs/engineering/task-scope-contract.md"", ""evidence/V0-GOV-032/plan-audit-validate-coverage.txt"", ""evidence/V0-GOV-032/plan-audit-validate.txt"", ""evidence/V0-GOV-032/plan-audit-verify-manifest.txt"", ""evidence/V0-GOV-032/pytest-task-scope.txt"", ""evidence/V0-GOV-032/task-scope-v1-fnd-003.txt"", ""evidence/V0-GOV-032/task-scope-v1-fnd-010.txt"", ""evidence/V0-GOV-032/verification.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/VALIDATION_CONTRACT.md"", ""plan/v0/governance/V0-GOV-032-deferral-entry-gate-recognition.md"", ""tests/Architecture/TaskScope/test_task_scope.py"", ""tools/task-scope/task_scope_tool.py""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
111,813e5eecceb11327a11fe7f2e5b45b6ba1bb7ed8,2026-08-04T11:35:37+03:00,fix(governance): regenerate audit manifest after GOV-032 evidence final edit Task: V0-GOV-032,[],[],PSEUDO_NOT_TRAILER,3,"[""evidence/V0-GOV-032/verification.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
112,38571267c5e37f46d3fafbb11022d617d2ad9b46,2026-08-04T13:14:17+03:00,feat(foundation): complete V1-FND-010 shared integration-test fixture validation Task: V1-FND-010,[],[],PSEUDO_NOT_TRAILER,6,"[""evidence/V1-FND-010/provenance.txt"", ""evidence/V1-FND-010/test-fullsuite.txt"", ""evidence/V1-FND-010/verification.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-010-shared-integration-test-fixtures.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
113,8f8e6b1bb0afb518ce2be4cf8bb83bf4376fa959,2026-08-04T14:53:42+03:00,feat(foundation): complete V1-FND-003 codex task-scope enforcement validation Task: V1-FND-003,[],[],PSEUDO_NOT_TRAILER,4,"[""evidence/V1-FND-003/verification.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-003-codex-task-scope-enforcement.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
114,8fa12b3ec8837f1c1fa0e7b9da7793d1f5cd9188,2026-08-04T15:26:17+03:00,feat(foundation): complete V1-FND-004 host migration composition validation Task: V1-FND-004,[],[],PSEUDO_NOT_TRAILER,4,"[""evidence/V1-FND-004/verification.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-004-host-migration-composition.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
115,a4e48ad5aa53d851c561f5ddf0ebcb37a3bc17b7,2026-08-04T19:16:03+03:00,feat(foundation): complete V1-FND-005 transaction execution boundary validation Task: V1-FND-005,[],[],PSEUDO_NOT_TRAILER,4,"[""evidence/V1-FND-005/verification.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-005-transaction-execution-boundary.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",FAIL,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PRE_C52_NONCANONICAL,C52-frozen-2026-08-10
116,4c05b1c9b23f8030815d49142d419765d21bb661,2026-08-05T10:32:19+03:00,feat(security): complete V1-SEC-001 secret resolution boundary validation,"[""V1-SEC-001""]",[],CANONICAL,3,"[""evidence/V1-SEC-001/build-output.txt"", ""evidence/V1-SEC-001/test-results.trx"", ""plan/v1/security-foundation/V1-SEC-001-secret-resolution-boundary.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
117,28b665a3e20278ac33c94410dbf7c599ff199000,2026-08-05T10:32:27+03:00,feat(security): complete V1-SEC-002 sensitive payload boundary validation,"[""V1-SEC-002""]",[],CANONICAL,3,"[""evidence/V1-SEC-002/build-output.txt"", ""evidence/V1-SEC-002/test-results.trx"", ""plan/v1/security-foundation/V1-SEC-002-sensitive-payload-boundary.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
118,1337940fb8561101aa85b1a320c39a5a25627473,2026-08-05T10:32:40+03:00,feat(foundation): complete V1-FND-002 idempotency infrastructure validation,"[""V1-FND-002""]",[],CANONICAL,3,"[""evidence/V1-FND-002/build-output.txt"", ""evidence/V1-FND-002/test-results.trx"", ""plan/v1/foundation/V1-FND-002-idempotency-infrastructure.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
119,e96939b5db720f0b9d3b5c784fe51335592a08a8,2026-08-05T10:32:46+03:00,feat(foundation): complete V1-FND-006 transaction outbox integration validation,"[""V1-FND-006""]",[],CANONICAL,3,"[""evidence/V1-FND-006/build-output.txt"", ""evidence/V1-FND-006/test-results.trx"", ""plan/v1/foundation/V1-FND-006-transaction-outbox-integration.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
120,6f39e0a3df49098ea50c1ec14408f393d92f3919,2026-08-05T10:32:52+03:00,feat(foundation): complete V1-FND-007 audit remediation validation,"[""V1-FND-007""]",[],CANONICAL,6,"[""evidence/V1-FND-007/build-output.txt"", ""evidence/V1-FND-007/final-test-output.txt"", ""evidence/V1-FND-007/manifest-output.txt"", ""evidence/V1-FND-007/test-output.txt"", ""evidence/V1-FND-007/validation-output.txt"", ""plan/v1/foundation/V1-FND-007-audit-remediation.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
121,d9ca2d276846be379e207672002437fcaa1bb876,2026-08-05T10:33:04+03:00,chore(foundation): close V1-FND-008 audit remediation round 2,"[""V1-FND-008""]",[],CANONICAL,5,"[""evidence/V1-FND-008/validate.txt"", ""evidence/V1-FND-008/verify-manifest.txt"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md"", ""plan/v1/foundation/V1-FND-008-audit-remediation-round2.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
122,8ab5306152333a459132d9ca09e613c9e5482fce,2026-08-05T10:33:09+03:00,feat(foundation): complete V1-FND-011 transaction outbox atomicity validation,"[""V1-FND-011""]",[],CANONICAL,2,"[""evidence/V1-FND-011/verification.txt"", ""plan/v1/foundation/V1-FND-011-transaction-outbox-atomicity.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
123,befd233f6d5ddd44808ca34197d761fae014fdf7,2026-08-05T10:33:16+03:00,feat(foundation): complete V1-FND-012 runtime migration manifest validation,"[""V1-FND-012""]",[],CANONICAL,2,"[""evidence/V1-FND-012/closure-report.md"", ""plan/v1/foundation/V1-FND-012-runtime-migration-manifest.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
124,8bf1100d8c835f9b46f885d36de8840e480432a5,2026-08-05T10:33:34+03:00,docs(security): record V0-SEC-001 verification baseline decision,"[""V0-SEC-001""]",[],CANONICAL,3,"[""docs/security/security-verification-baseline.md"", ""plan/DECISION_REVALIDATION.md"", ""plan/v0/security-baseline/V0-SEC-001-security-verification-baseline.md""]",FAIL,"[""plan/DECISION_REVALIDATION.md""]",FAIL,"[""plan/DECISION_REVALIDATION.md""]",CANONICAL,C52-frozen-2026-08-10
125,779b4ce3813321515a59f4f1f02e2269afe30ed6,2026-08-05T10:33:41+03:00,chore(foundation): unblock V1-FND-009 pushed history rewrite,"[""V1-FND-009""]",[],CANONICAL,1,"[""plan/v1/foundation/V1-FND-009-rewrite-pushed-history.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
126,8b7a4bf0a5f8dbec015780c9a616f225ee04c162,2026-08-05T11:57:54+03:00,docs(governance): record C45 plan change for full-history FND-009 rewrite,"[""V1-FND-009""]",[],CANONICAL,2,"[""plan/GATES.md"", ""plan/TRACEABILITY.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
127,2277d4e60e3dbabb93ffad2586062b96c3d0d415,2026-08-05T12:26:53+03:00,chore(foundation): repin RepositoryCommit and tag refs after full-history rewrite,"[""V1-FND-009""]",[],CANONICAL,2,"[""Directory.Build.props"", ""docs/versioning-strategy.md""]",FAIL,"[""Directory.Build.props""]",FAIL,"[""Directory.Build.props""]",CANONICAL,C52-frozen-2026-08-10
128,26cc7f9fbed1ab2ceb8b50824af8bf9604d486cf,2026-08-05T12:32:03+03:00,chore(foundation): regenerate audit report and manifest after full-history rewrite,"[""V1-FND-009""]",[],CANONICAL,2,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
129,184fc9b5649087c0349d4fddcddf6aafcf803844,2026-08-05T12:37:36+03:00,docs(foundation): close V1-FND-009 full-history rewrite with evidence,"[""V1-FND-009""]",[],CANONICAL,5,"[""evidence/V1-FND-009/closure-report-2026-08-05.md"", ""evidence/V1-FND-009/dotnet-build.txt"", ""evidence/V1-FND-009/footerless-commits.txt"", ""evidence/V1-FND-009/validation-2026-08-05.txt"", ""plan/v1/foundation/V1-FND-009-rewrite-pushed-history.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
130,70d42db84868ad63cfe4554d051c4d6ad0ad8a85,2026-08-05T12:38:44+03:00,chore(foundation): regenerate audit manifest after V1-FND-009 closure,"[""V1-FND-009""]",[],CANONICAL,2,"[""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
131,d9664322050d05fdb29f493ac5d9e223f5f2344f,2026-08-05T13:45:59+03:00,feat(security): complete V1-SEC-003 host db secret input validation,"[""V1-SEC-003""]",[],CANONICAL,2,"[""evidence/V1-SEC-003/closure-2026-08-05.md"", ""plan/v1/security-foundation/V1-SEC-003-host-database-secret-input.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
132,67f8a0395ff5f38991e50b4b659d70a2aaa847cb,2026-08-05T13:49:21+03:00,feat(identity): complete V1-IAM-001 user authentication validation,"[""V1-IAM-001""]",[],CANONICAL,2,"[""evidence/V1-IAM-001/closure-2026-08-05.md"", ""plan/v1/identity-authorization/V1-IAM-001-authentication.md""]",PASS,[],PASS,[],CANONICAL,C52-frozen-2026-08-10
133,81320187fb24dbabb8c2bbe021b5cab6adbc9605,2026-08-07T18:54:42+03:00,feat(catalog): complete V1-CAT-002 effective-dated product pricing,[],[],MISSING,17,"[""ALKAROS.slnx"", ""build/project-manifest.json"", ""database/MigrationComposition/order.json"", ""database/migrations/V1/V1-CAT-002/007-catalog-pricing.down.sql"", ""database/migrations/V1/V1-CAT-002/007-catalog-pricing.up.sql"", ""evidence/V1-CAT-002/closure-evidence.txt"", ""plan/v1/catalog/V1-CAT-002-effective-pricing.md"", ""src/Modules/Catalog/Pricing/PostgresPricingRepository.cs"", ""src/Modules/Catalog/Pricing/ProductPrice.cs"", ""src/Modules/Catalog/Pricing/Repositories.cs"", ""src/Modules/Catalog/ProductCatalog/CatalogModule.cs"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs"", ""tests/Modules/Catalog/Pricing/ALKAROS.Catalog.Pricing.Tests.csproj"", ""tests/Modules/Catalog/Pricing/DomainTests.cs"", ""tests/Modules/Catalog/Pricing/Fixtures/PricingTestDatabase.cs"", ""tests/Modules/Catalog/Pricing/PostgresPricingRepositoryTests.cs"", ""tests/Modules/Catalog/Pricing/packages.lock.json""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
134,37a44b5c68c852943e88801dd93fa7e3bf5913f4,2026-08-07T20:48:31+03:00,feat(catalog): complete V1-CAT-001 product catalog module,[],[],MISSING,23,"[""database/migrations/V1/V1-CAT-001/006-catalog.down.sql"", ""database/migrations/V1/V1-CAT-001/006-catalog.up.sql"", ""evidence/V1-CAT-001/closure-evidence.txt"", ""plan/v1/catalog/V1-CAT-001-product-catalog.md"", ""src/Modules/Catalog/ProductCatalog/Category.cs"", ""src/Modules/Catalog/ProductCatalog/Enums.cs"", ""src/Modules/Catalog/ProductCatalog/Modifier.cs"", ""src/Modules/Catalog/ProductCatalog/ModifierGroup.cs"", ""src/Modules/Catalog/ProductCatalog/PostgresCategoryRepository.cs"", ""src/Modules/Catalog/ProductCatalog/PostgresModifierGroupRepository.cs"", ""src/Modules/Catalog/ProductCatalog/PostgresModifierRepository.cs"", ""src/Modules/Catalog/ProductCatalog/PostgresProductModifierGroupRepository.cs"", ""src/Modules/Catalog/ProductCatalog/PostgresProductRepository.cs"", ""src/Modules/Catalog/ProductCatalog/PostgresTaxProfileRepository.cs"", ""src/Modules/Catalog/ProductCatalog/Product.cs"", ""src/Modules/Catalog/ProductCatalog/ProductModifierGroup.cs"", ""src/Modules/Catalog/ProductCatalog/Repositories.cs"", ""src/Modules/Catalog/ProductCatalog/TaxProfile.cs"", ""tests/Modules/Catalog/ProductCatalog/ALKAROS.Catalog.ProductCatalog.Tests.csproj"", ""tests/Modules/Catalog/ProductCatalog/DomainTests.cs"", ""tests/Modules/Catalog/ProductCatalog/Fixtures/CatalogTestDatabase.cs"", ""tests/Modules/Catalog/ProductCatalog/PostgresRepositoryTests.cs"", ""tests/Modules/Catalog/ProductCatalog/packages.lock.json""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
135,a55854667b1846fffe82aaa9992a45c35fa7aed9,2026-08-07T20:48:42+03:00,"build(catalog): commit V1-CAT-002 missing build dependencies (Npgsql, FluentAssertions, lockfiles)",[],[],MISSING,7,"[""Directory.Packages.props"", ""src/Host/packages.lock.json"", ""src/Modules/Catalog/ALKAROS.Catalog.csproj"", ""src/Modules/Catalog/packages.lock.json"", ""src/Modules/Inventory/packages.lock.json"", ""tests/Architecture/ModuleBoundaries/packages.lock.json"", ""tests/Host/MigrationComposition/packages.lock.json""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
136,f912e409e7306f4494955462fb1199077db7f7e1,2026-08-07T20:55:28+03:00,docs(catalog): record V1-CAT-002 self-contained HEAD verification,[],[],MISSING,1,"[""evidence/V1-CAT-002/closure-evidence.txt""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
137,7526fc8d3c3016f045a3f503f2fe1596394a4f1e,2026-08-08T23:05:45+03:00,chore(iam-004): transition V1-IAM-004 out of Blocked (InProgress),[],[],MISSING,1,"[""plan/v1/identity-authorization/V1-IAM-004-concurrent-lockout.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
138,4e5330211641a1f127ac3625d24ab02cc24fc95b,2026-08-08T23:06:03+03:00,chore(iam-004): close V1-IAM-004 with legal transition and evidence,[],[],MISSING,2,"[""evidence/V1-IAM-004/closure-2026-08-08.md"", ""plan/v1/identity-authorization/V1-IAM-004-concurrent-lockout.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
139,fdab1da98edc4c81e928e3de0dcfd2f6b6beb678,2026-08-08T23:06:34+03:00,docs(iam-004): correct closure evidence on task-scope applicability,[],[],MISSING,1,"[""evidence/V1-IAM-004/closure-2026-08-08.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
140,9e8471086e28ba9706ed8044041fa1d7459c600d,2026-08-08T23:08:20+03:00,chore(iam-002): transition V1-IAM-002 to InProgress,[],[],MISSING,1,"[""plan/v1/identity-authorization/V1-IAM-002-authorization.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
141,974d9fc1649f74f185114bd334c9f949a8aa8893,2026-08-08T23:18:02+03:00,feat(iam-002): implement role and permission enforcement,[],[],MISSING,25,"[""ALKAROS.slnx"", ""build/project-manifest.json"", ""database/MigrationComposition/order.json"", ""database/migrations/V1/V1-IAM-002/008-identity-authorization.down.sql"", ""database/migrations/V1/V1-IAM-002/008-identity-authorization.up.sql"", ""evidence/V1-IAM-002/closure-2026-08-08.md"", ""src/Modules/Identity/Authorization/AuthorizationDeniedException.cs"", ""src/Modules/Identity/Authorization/AuthorizationService.cs"", ""src/Modules/Identity/Authorization/IAuthorizationService.cs"", ""src/Modules/Identity/Authorization/IDenialEventSink.cs"", ""src/Modules/Identity/Authorization/IPermissionRepository.cs"", ""src/Modules/Identity/Authorization/IRoleManagementService.cs"", ""src/Modules/Identity/Authorization/IRoleRepository.cs"", ""src/Modules/Identity/Authorization/PermissionCodes.cs"", ""src/Modules/Identity/Authorization/PostgresDenialEventSink.cs"", ""src/Modules/Identity/Authorization/PostgresPermissionRepository.cs"", ""src/Modules/Identity/Authorization/PostgresRoleRepository.cs"", ""src/Modules/Identity/Authorization/RoleManagementService.cs"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs"", ""tests/Modules/Identity/Authorization/ALKAROS.Identity.Authorization.Tests.csproj"", ""tests/Modules/Identity/Authorization/AuthorizationServiceTests.cs"", ""tests/Modules/Identity/Authorization/Fixtures/AuthorizationTestDatabase.cs"", ""tests/Modules/Identity/Authorization/PermissionRepositoryTests.cs"", ""tests/Modules/Identity/Authorization/RoleManagementServiceTests.cs"", ""tests/Modules/Identity/Authorization/packages.lock.json""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
142,ef92770e4e4f2e36ed276082d715132d8d64a748,2026-08-08T23:18:15+03:00,chore(iam-003): transition V1-IAM-003 to InProgress,[],[],MISSING,1,"[""plan/v1/identity-authorization/V1-IAM-003-device-sessions.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
143,750110821347b57632d99c23de48681284996812,2026-08-08T23:27:21+03:00,feat(iam-003): implement device session lifecycle,[],[],MISSING,19,"[""ALKAROS.slnx"", ""build/project-manifest.json"", ""database/MigrationComposition/order.json"", ""database/migrations/V1/V1-IAM-003/009-identity-device-sessions.down.sql"", ""database/migrations/V1/V1-IAM-003/009-identity-device-sessions.up.sql"", ""evidence/V1-IAM-003/closure-2026-08-08.md"", ""src/Modules/Identity/DeviceSessions/DeviceSession.cs"", ""src/Modules/Identity/DeviceSessions/DeviceSessionExceptions.cs"", ""src/Modules/Identity/DeviceSessions/DeviceSessionService.cs"", ""src/Modules/Identity/DeviceSessions/DeviceSessionToken.cs"", ""src/Modules/Identity/DeviceSessions/IDeviceSessionRepository.cs"", ""src/Modules/Identity/DeviceSessions/IDeviceSessionService.cs"", ""src/Modules/Identity/DeviceSessions/PostgresDeviceSessionRepository.cs"", ""tests/Host/MigrationComposition/Manifest/ManifestTests.cs"", ""tests/Modules/Identity/DeviceSessions/ALKAROS.Identity.DeviceSessions.Tests.csproj"", ""tests/Modules/Identity/DeviceSessions/DeviceSessionServiceTests.cs"", ""tests/Modules/Identity/DeviceSessions/DeviceSessionTokenTests.cs"", ""tests/Modules/Identity/DeviceSessions/Fixtures/DeviceSessionsTestDatabase.cs"", ""tests/Modules/Identity/DeviceSessions/packages.lock.json""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
144,d2b066334d79028c3d31d4d3922600fd8c175af3,2026-08-09T13:12:31+03:00,"chore(iam): close V1-IAM-002, V1-IAM-003 and restore auth test project registration",[],[],MISSING,6,"[""ALKAROS.slnx"", ""evidence/V1-IAM-002/closure-2026-08-08.md"", ""evidence/V1-IAM-003/audit-slnx-regression-2026-08-09.md"", ""evidence/V1-IAM-003/closure-2026-08-08.md"", ""plan/v1/identity-authorization/V1-IAM-002-authorization.md"", ""plan/v1/identity-authorization/V1-IAM-003-device-sessions.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
145,825882aaaa2a9483694120cab4f65017da93ffc1,2026-08-09T13:37:59+03:00,chore(planaudit): regenerate audit manifest and report (verify-manifest clean),[],[],MISSING,3,"[""evidence/V1-IAM-003/manifest-recover-2026-08-09.md"", ""plan/AUDIT_MANIFEST.json"", ""plan/AUDIT_REPORT.md""]",UNATTRIBUTED,[],UNATTRIBUTED,[],C52_GOV_003_MISSING_TRAILER,C52-frozen-2026-08-10
